Red Fighter,Blue Fighter,Predicted Result,Probability
Anthony Smith,Ryan Spann,win,0.49458215957313306
Max Holloway,Chan Sung Jung,win,0.8084375774792566
Ange Loosa,Rhys McKee,win,0.7791413633981122
Benoit Saint Denis,Thiago Moises,win,0.5175749043967103
Ciryl Gane,Serghei Spivac,win,0.6477350996255761
Jamie Mullarkey,John Makdessi,win,0.6870009656854321
Carlos Ulberg,Da Woon Jung,win,0.7282614239533413
Tyson Pedro,Anton Turkalj,win,0.5804199493630142
Tai Tuivasa,Alexander Volkov,loss,0.5999119714166936
Israel Adesanya,Sean Strickland,loss,0.5179853000818023
Roman Kopylov,Josh Fremd,win,0.5485852543403098
Daniel Zellhuber,Christos Giagos,win,0.5890007741877162
Kevin Holland,Jack Della Maddalena,loss,0.6884014235968813
Mohammed Usman,Jake Collier,loss,0.5084695207057219
Jacob Malkoun,Cody Brundage,win,0.826985534704548
Tim Means,Andre Fialho,win,0.6574703676025632
Dan Argueta,Miles Johns,win,0.4995656230846347
Ricardo Ramos,Charles Jourdain,loss,0.5650871929027603
Bryan Battle,AJ Fletcher,win,0.5583596731106347
Bryce Mitchell,Dan Ige,win,0.7489934146866607
Rafael Fiziev,Mateusz Gamrot,win,0.5564513717579155
Aoriqileng,Johnny Munoz,loss,0.6023091639015724
Alexander Hernandez,Bill Algeo,loss,0.5048330570115497
Drew Dober,Ricky Glenn,win,0.5529525192656888
Alex Morono,Joaquin Buckley,win,0.6301538421428559
Joe Pyfer,Abdul Razak Alhassan,win,0.608669401260993
Grant Dawson,Bobby Green,win,0.676235187203919
Chris Gutierrez,Alatengheili,win,0.7180387963695245
Darren Elkins,TJ Brown,win,0.5694703410037433
Christian Rodriguez,Cameron Saaiman,loss,0.5327674312168809
Andre Petroski,Michel Pereira,win,0.5048724908194326
Jonathan Martinez,Adrian Yanez,win,0.6035170621902058
Sodiq Yusuff,Edson Barboza,win,0.694195733475847
Abu Azaitar,Sedriques Dumas,loss,0.665532443338851
Javid Basharat,Victor Henry,win,0.698752616851814
Tim Elliott,Muhammad Mokaev,loss,0.6127242033931176
Magomed Ankalaev,Johnny Walker,win,0.6672108490968356
Kamaru Usman,Khamzat Chimaev,win,0.5601872690213403
Islam Makhachev,Alexander Volkanovski,win,0.5363833474436034
Vitor Petrino,Modestas Bukauskas,win,0.5633234871429799
Rinat Fakhretdinov,Elizeu Zaleski dos Santos,win,0.7046996796135906
Caio Borralho,Abus Magomedov,win,0.6840138290999409
Rodrigo Nascimento,Don'Tale Mayes,win,0.6521926204463161
Gabriel Bonfim,Nicolas Dalby,win,0.6543265686186402
Jailton Almeida,Derrick Lewis,win,0.8173251587201213
John Castaneda,Kyung Ho Kang,win,0.584753964436747
Jared Gordon,Mark Madsen,win,0.7372931239498391
Nazim Sadykhov,Viacheslav Borshchev,loss,0.5142853906158221
Mateusz Rebecki,Roosevelt Roberts,win,0.8224700448322572
Diego Lopes,Pat Sabatini,loss,0.7418525930280129
Matt Frevola,Benoit Saint Denis,loss,0.732678937645917
Sergei Pavlovich,Tom Aspinall,win,0.5410508760155295
Jiri Prochazka,Alex Pereira,loss,0.5638120824627658
Trey Ogden,Nikolas Motta,win,0.5892510986461215
Christian Leroy Duncan,Denis Tiuliulin,win,0.677464342583843
Jonathan Pearce,Joanderson Brito,win,0.7156146068455089
Chase Hooper,Jordan Leavitt,win,0.5274276039350356
Michael Morales,Jake Matthews,win,0.5896375596997183
Brendan Allen,Paul Craig,win,0.7641676910111384
Wellington Turman,Jared Gooden,loss,0.5506777151145926
Drakkar Klose,Joe Solecki,loss,0.512245219316996
Punahele Soriano,Dustin Stoltzfus,win,0.552217675962989
Clay Guida,Joaquim Silva,loss,0.5695726565940135
Sean Brady,Kelvin Gastelum,win,0.7756156947356125
Rob Font,Deiveson Figueiredo,loss,0.5053371143083354
Jalin Turner,Bobby Green,loss,0.5140302144619006
Beneil Dariush,Arman Tsarukyan,loss,0.58411890287504
Tatsuro Taira,Carlos Hernandez,win,0.6853939318695487
Steve Garcia,Melquizael Costa,loss,0.6202235755271231
JunYong Park,Andre Muniz,win,0.6757532360067728
Tim Elliott,Sumudaerji,loss,0.5607885502222022
Nasrat Haqparast,Jamie Mullarkey,loss,0.6414087161414198
Anthony Smith,Khalil Rountree Jr.,win,0.5396780278707662
Song Yadong,Chris Gutierrez,loss,0.6443341526380184
Andre Fili,Lucas Almeida,win,0.6727056684652384
Tagir Ulanbekov,Cody Durden,loss,0.5294581251102835
Cody Garbrandt,Brian Kelleher,win,0.603278131546762
Alonzo Menifield,Dustin Jacoby,loss,0.5234808871670326
Josh Emmett,Bryce Mitchell,loss,0.6746579440526068
Tony Ferguson,Paddy Pimblett,loss,0.6218169200303442
Shavkat Rakhmonov,Stephen Thompson,win,0.7787188493144089
Alexandre Pantoja,Brandon Royval,win,0.526893520850709
Leon Edwards,Colby Covington,win,0.5950088708274698
David Onama,Nate Landwehr,win,0.6277617433017828
Dominick Cruz,Marlon Vera,loss,0.6421298105881657
Francisco Figueiredo,Amir Albazi,loss,0.7638020782898131
Luis Saldana,Sean Woodson,loss,0.5923867371918049
Jared Gordon,Leonardo Santos,win,0.599846378780501
Alexandr Romanov,Marcin Tybura,win,0.6196556300095205
Harry Hunsucker,Tyson Pedro,loss,0.7218914696916469
Merab Dvalishvili,Jose Aldo,win,0.7276578098730335
Luke Rockhold,Paulo Costa,win,0.5188970378353405
Leon Edwards,Kamaru Usman,loss,0.664403622008228
Nasrat Haqparast,John Makdessi,loss,0.6791181406511703
Nathaniel Wood,Charles Jourdain,win,0.5385290764107019
Roman Kopylov,Alessio Di Chirico,loss,0.5230862600574833
Joaquin Buckley,Nassourdine Imavov,win,0.5002367207986257
Marvin Vettori,Robert Whittaker,win,0.4989827046940298
Tai Tuivasa,Ciryl Gane,loss,0.7939345882027339
Chris Barnett,Jake Collier,loss,0.7747771653755858
Julian Erosa,Hakeem Dawodu,loss,0.6529902660785081
Ion Cutelaba,Johnny Walker,loss,0.5176970635014615
Daniel Rodriguez,Li Jingliang,win,0.5630154681538392
Kevin Holland,Khamzat Chimaev,loss,0.633663672772295
Tony Ferguson,Nate Diaz,loss,0.512553559681956
Pat Sabatini,Damon Jackson,win,0.5498727644413792
Marc-Andre Barriault,Anthony Hernandez,loss,0.6578734584536984
Rodrigo Nascimento,Tanner Boser,loss,0.7843278178280217
Bill Algeo,Andre Fili,win,0.6247242651466159
Gregory Rodrigues,Chidi Njokuani,win,0.6171288899414069
Song Yadong,Cory Sandhagen,win,0.5680620804060244
Randy Costa,Guido Cannetti,win,0.5528508053500948
Brendan Allen,Krzysztof Jotko,win,0.5300007496182819
Jesse Ronson,Joaquim Silva,loss,0.5422029979141398
Aleksei Oleinik,Ilir Latifi,loss,0.6478918985904556
Viacheslav Borshchev,Mike Davis,loss,0.6314190490275413
Trevin Jones,Raoni Barcelos,loss,0.6518581339129861
Francisco Trinaldo,Randy Brown,loss,0.6583794709245385
Jacob Malkoun,Nick Maximov,loss,0.5660870708441438
Brandon Davis,Mana Martinez,loss,0.6583426412791067
Alonzo Menifield,Misha Cirkunov,win,0.68931533883793
Dusko Todorovic,Jordan Wright,loss,0.5598981784395591
Jonathan Martinez,Cub Swanson,win,0.5183306167371713
Malcolm Gordon,Muhammad Mokaev,loss,0.6641818521038457
Nikita Krylov,Volkan Oezdemir,loss,0.5071394884897981
Caio Borralho,Makhmud Muradov,loss,0.6432646440279542
Sean Brady,Belal Muhammad,loss,0.499078727118701
