Red Fighter,Blue Fighter,Predicted Result,Probability,Actual Result
Chidi Njokuani,Gregory Rodrigues,loss,0.7451969271136426,loss
Cory Sandhagen,Song Yadong,loss,0.5865402179288466,win
Guido Cannetti,Randy Costa,win,0.6026433496836383,win
Krzysztof Jotko,Brendan Allen,loss,0.6295746959069531,loss
Joaquim Silva,Jesse Ronson,win,0.5781237146312361,win
Ilir Latifi,Aleksei Oleinik,win,0.5844205755014251,win
Mike Davis,Viacheslav Borshchev,win,0.6887161154741268,win
Raoni Barcelos,Trevin Jones,win,0.7827928605872542,win
Randy Brown,Francisco Trinaldo,win,0.8078084428757301,win
Nick Maximov,Jacob Malkoun,win,0.5588064609165129,loss
Mana Martinez,Brandon Davis,loss,0.6818626572940687,win
Misha Cirkunov,Alonzo Menifield,loss,0.6030197802291711,loss
Jordan Wright,Dusko Todorovic,win,0.5082848939243377,loss
Cub Swanson,Jonathan Martinez,loss,0.6717230265142748,loss
Muhammad Mokaev,Malcolm Gordon,win,0.7715624608052246,win
Volkan Oezdemir,Nikita Krylov,loss,0.5754037165527832,loss
Makhmud Muradov,Caio Borralho,win,0.5206735962552489,loss
Belal Muhammad,Sean Brady,win,0.6229849962811119,win
Beneil Dariush,Mateusz Gamrot,win,0.7760127261556513,win
Petr Yan,Sean O'Malley,loss,0.615741941227084,loss
Aljamain Sterling,TJ Dillashaw,win,0.611961012890202,win
Charles Oliveira,Islam Makhachev,loss,0.8130899217951025,loss
Chase Hooper,Steve Garcia,win,0.5482570167472731,loss
Joseph Holmes,JunYong Park,win,0.5427681013202207,loss
Andrei Arlovski,Marcos Rogerio de Lima,loss,0.6706552580528647,loss
Phil Hawes,Roman Dolidze,win,0.698192270659248,loss
Dustin Jacoby,Khalil Rountree Jr.,win,0.8074906782389529,loss
Tim Means,Max Griffin,win,0.5538145903459853,loss
Calvin Kattar,Arnold Allen,win,0.5511891178668558,loss
Mario Bautista,Benito Lopez,win,0.6947616529009307,win
Grant Dawson,Mark Madsen,win,0.758521037008304,win
Tagir Ulanbekov,Nate Maness,win,0.7188245259254518,win
Darrick Minner,Shayilan Nuerdanbieke,loss,0.5946991681057239,loss
Neil Magny,Daniel Rodriguez,loss,0.578362759413975,win
Carlos Ulberg,Nicolae Negumereanu,win,0.6924508157181457,win
Julio Arce,Montel Jackson,loss,0.5473520320335973,loss
Michael Trizano,SeungWoo Choi,win,0.6027288830714818,win
Matt Frevola,Ottman Azaitar,win,0.6071188455825233,win
Andre Petroski,Wellington Turman,loss,0.5144023007171835,win
Dominick Reyes,Ryan Spann,win,0.7104403338337204,loss
Brad Riddell,Renato Moicano,win,0.5820521372537137,loss
Dan Hooker,Claudio Puelles,win,0.6111399840703334,win
